,name,price,spec_score,votes,user_rating,os,weight,screen_size,resolution,battery,processor_name,processor_speed,graphics_card,rom_memory,internal_memory,wireless_connection,hardware_features
10,Zebronics Pro Series Z ZEB-NBC 4S Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹32,990",64,309 votes • 15 reviews,4.1,OS: Windows 11,1.76 kgHeavy,15.6 inchesAverage,1920 x 1080 pixelsAverage,38.5 Wh BatteryGood,12th Gen Intel Core i5 1235U,2 x 1.3 GHz (Turbo Speed upto 4.4 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,Intel Integrated Graphics,16 GB DDR4 RAMLargest,512 GB SSD,"WiFi, Bluetooth v5.0",2 MP Camera
11,HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹81,490",73,145 votes ,4.2,OS: Windows 11,2.48 kgHeavy,16.1 inchesLarge,1920 x 1080 pixelsAverage,"70 Wh, 4 Cell BatteryGood",7th Gen AMD Ryzen 7 7840HS,8 x 3.8 GHz (Turbo Speed upto 5.1 GHz) Cores,"6 GB, NVIDIA GeForce RTX 3050 GraphicsLarge",16 GB DDR5 RAMAverage,1 TB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
12,Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹24,990",51,"1,369 votes • 27 reviews",4.2,OS: Windows 11,1 Year Warranty,15.6 inchesLargest,1080 x 1920 pixelsAverage,17.85 Wh BatteryGood,11th Gen Intel Core i5 1135G7,4 x 2.4 GHz (Turbo Speed upto 4.2 GHz) Cores,Intel Graphics Graphics,8 GB DDR4 RAMLargest,512 GB SSD,"WiFi, Bluetooth","Backlit Keyboard, Inbuilt Microphone"
13,Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹33,990",56,"1,492 votes • 20 reviews",4.2,OS: Windows 11,1.65 kgAverage,15.6 inchesLarge,1920 x 1080 pixelsAverage,"41 Wh, 3 Cell BatteryGood",12th Gen Intel Core i3 1215U,2 x 1.2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,Intel UHD Graphics Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.2",Inbuilt Microphone
14,Lenovo V15 82KDA01BIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),"₹26,749",57,772 votes • 21 reviews,4.1,OS: Windows 11,1.74 kgHeavy,15.6 inchesLargest,1920 x 1080 pixelsAverage,,5th Gen AMD Ryzen 3 5300U,4 x 2.6 GHz (Turbo Speed upto 3.8 GHz) Cores,AMD Radeon Graphics Graphics,8 GB DDR4 RAMLargest,512 GB SSD,"WiFi, Bluetooth v5.0",1 MP Camera
15,HP Victus 15-fa1099TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹58,990",64,107 votes ,4.3,OS: Windows 11,2.37 kgHeavy,16.1 inchesLarge,1920 x 1080 pixelsAverage,3 Cell Battery,12th Gen Intel Core i5 12450H,4 x 2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 1.5 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"4 GB, NVIDIA GeForce RTX 2050 GraphicsLargest",16 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
16,Samsung Galaxy Book 4 NP750XGK-KS2IN Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),"₹79,990",55,98 votes ,4.5,OS: Windows 11,1.55 kgLight,15.6 inchesLarge,1920 x 1080 pixelsAverage,54 Wh BatteryGood,Intel Core 5 Processor Series 1 120U,2 x 1.4 GHz (Turbo Speed upto 5 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores,Intel Graphics Graphics,16 GB LPDDR4x RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.2","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
17,Samsung Galaxy Book 4 NP750XGK-KS1IN Laptop (Intel Core 5 Processor 120U/ 8GB/ 512GB SSD/ Win11),"₹74,990",53,70 votes ,4.7,OS: Windows 11,1.55 kgLight,15.6 inchesLarge,1920 x 1080 pixelsAverage,54 Wh BatteryGood,Intel Core 5 Processor Series 1 120U,2 x 1.4 GHz (Turbo Speed upto 5 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores,Intel Graphics Graphics,8 GB LPDDR4x RAMSmallest,512 GB SSD,"WiFi, Bluetooth v5.2","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
18,HP 14s-dq5138tu Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹39,990",55,63 votes ,4.8,OS: Windows 11,1.46 kgLight,14 inchesSmall,1920 x 1080 pixelsAverage,"41 Wh, 3 Cell BatteryGood",12th Gen Intel Core i3 1215U,2 x 1.2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,Intel Integrated UHD Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.0","Backlit Keyboard, Inbuilt Microphone"
19,Zebronics ZEB-NBC 5S 2023 Laptop (12th Gen Core i7 / 16GB/ 1TB SSD/ Win11 Home),"₹43,990",66,212 votes • 3 reviews,4.1,OS: Windows 11,1.76 kgHeavy,15.6 inchesAverage,1920 x 1080 pixelsAverage,38.5 Wh BatteryGood,12th Gen Intel Core i7 1255U,2 x 1.7 GHz (Turbo Speed upto 4.7 GHz) Performance Cores8 x 1.2 GHz (Turbo Speed upto 3.5 GHz) Efficient Cores,Intel Integrated Graphics,16 GB DDR4 RAMLargest,1 TB SSD,"WiFi, Bluetooth v5.0",2 MP Camera
20,Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹74,990",71,312 votes • 2 reviews,4.3,OS: Windows 11,2.2 kgHeavy,15.6 inchesAverage,1920 x 1080 pixelsAverage,"90 Wh, 4 Cell BatteryGood",11th Gen Intel Core i7 11800H,8 x 2.3 GHz (Turbo Speed upto 4.6 GHz) Cores,"4 GB, NVIDIA GeForce RTX 3050 Ti GraphicsAverage",16 GB DDR4 RAMAverage,1 TB SSD,"WiFi, Bluetooth v5.2","Backlit Keyboard, Inbuilt Microphone"
21,HP Victus 15-fb1017AX Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹56,490",69,78 votes ,4.2,OS: Windows 11,2.37 kgHeavy,15.6 inchesLarge,1920 x 1080 pixelsAverage,4 Cell Battery,7th Gen Amd Ryzen 5 7535HS,6 x 3.3 GHz (Turbo Speed upto 4.55 GHz) Cores,"4 GB, NVIDIA GeForce RTX 2050 GraphicsLargest",16 GB DDR5 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
22,Lenovo LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹59,990",64,248 votes • 13 reviews,4.3,OS: Windows 11,2.4 kgHeavy,15.6 inchesLarge,1920 x 1080 pixelsAverage,"60 Wh, 3 Cell BatteryGood",12th Gen Intel Core i5 12450H,4 x 2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 1.5 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"4 GB, NVIDIA GeForce RTX 2050 GraphicsLargest",16 GB DDR5 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.1","Backlit Keyboard, Inbuilt Microphone"
23,Apple MacBook Air 2024 Laptop (Apple M3/ 8GB/ 256GB SSD/ MacOS),"₹1,14,900",46,104 votes ,4.3,OS: Mac,1.24 kgLight,13.6 inchesSmall,2560 x 1664 pixelsGood,52.6 Wh BatteryGood,Apple M3,4 x Performance Cores4 x Efficient Cores,8 GB RAMSmallest,256 GB SSD,,"WiFi, Bluetooth v5.3","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
24,Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),"₹74,990",68,544 votes • 22 reviews,4.0,OS: Windows 11,1.8 kgAverage,15.6 inchesAverage,1920 x 1080 pixelsAverage,70 Wh BatteryGood,13th Gen Intel Core i9 13900H,6 x 2.6 GHz (Turbo Speed upto 5.4 GHz) Performance Cores8 x 1.9 GHz (Turbo Speed upto 4.1 GHz) Efficient Cores,Intel Integrated Iris Xe Graphics,32 GB LPDDR5X RAMLargest,1 TB SSD,"WiFi, Bluetooth v5.2","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
25,Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop (12th Gen Core i7/ 16GB/512GB SSD/ Win11 Home/ 8GB Graph),"₹99,990",74,344 votes • 14 reviews,4.4,OS: Windows 11,2.2 kgAverage,15.6 inchesAverage,1920 x 1080 pixelsAverage,"90 Wh, 4 Cell BatteryGood",12th Gen Intel Core i7 12700H,6 x 2.3 GHz (Turbo Speed upto 4.7 GHz) Performance Cores8 x 1.7 GHz (Turbo Speed upto 3.5 GHz) Efficient Cores,"8 GB, NVIDIA GeForce RTX 4060 GraphicsLargest",16 GB DDR4 RAMLargest,512 GB SSD,"WiFi, Bluetooth v5.1","Backlit Keyboard, Inbuilt Microphone"
26,Asus TUF F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹49,990",64,"1,205 votes • 16 reviews",4.4,OS: Windows 11,2.3 kgHeavy,15.6 inchesLarge,1920 x 1080 pixelsAverage,"90 Wh, 3 Cell BatteryGood",11th Gen Intel Core i5 11400H ,6 x 2.2 GHz (Turbo Speed upto 4.5 GHz) Cores,"4 GB, NVIDIA GeForce RTX 2050 GraphicsLargest",8 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.2","Backlit Keyboard, Inbuilt Microphone"
