,name,price,spec_score,votes,user_rating,os,weight,screen_size,resolution,battery,processor_name,processor_speed,graphics_card,rom_memory,internal_memory,wireless_connection,hardware_features
168,MSI Vector 17 HX A14VHG-806IN Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 12GB Graph),"₹2,79,990",92,93 votes ,4.5,OS: Windows 11,3 kgHeavy,17 inchesLarge,2560 x 1600 pixelsAverage,"90 Wh, 4 Cell BatteryGood",14th Gen Intel Core i9 14900HX,8 x 2.2 GHz (Turbo Speed upto 5.8 GHz) Performance Cores16 x 1.6 GHz (Turbo Speed upto 4.1 GHz) Efficient Cores,"12 GB, NVIDIA GeForce RTX 4080 GraphicsAverage",32 GB DDR5 RAMAverage,2 TB SSD,"WiFi, Bluetooth v5.4","Backlit Keyboard, Inbuilt Microphone"
169,Chuwi HeroBook Plus Laptop (Intel Celeron N4020/ 8GB/ 256GB SSD/ Win11),"₹18,990",38,347 votes ,3.9,OS: Windows 11,1 Year Warranty,15.6 inchesLargest,1920 x 1080 pixelsAverage,38 Wh BatteryGood,Intel ‎Celeron N4020,2 x 1.1 GHz (Turbo Speed upto 2.8 GHz) Cores,Intel HD Graphics Graphics,8 GB DDR3 RAMLargest,256 GB SSD,"WiFi, Bluetooth v5.2",0.3 MP Camera
170,Infinix INBook X2 Slim XL23 Series Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win 11 Home),"₹32,990",52,76 votes ,4.6,OS: Windows 11,1.24 kgLight,14 inchesSmall,1920 x 1080 pixelsAverage,50 Wh BatteryGood,11th Gen Intel Core i5 1155G7,4 x 2.5 GHz (Turbo Speed upto 4.5 GHz) Cores,Intel Integrated Iris Xe Graphics,8 GB LPDDR4X RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.1","Backlit Keyboard, Inbuilt Microphone"
171,Xiaomi Redmi Book Pro 16 2024 Laptop (Intel Core Ultra 5/ 32GB/ 1TB SSD/ Win 11),"₹69,990",62,66 votes ,4.1,OS: Windows 11,1.88 kgHeavy,16 inchesLarge,3072 x 1920 pixelsGood,99 Wh BatteryGood,Intel Core Ultra 5 Series 1 125H,4 x 1.2 GHz (Turbo Speed upto 4.5 GHz) Performance Cores8 x 700 MHz (Turbo Speed upto 3.6 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,Intel  ARC Graphics Graphics,32 GB LPDDR5x RAMLargest,1 TB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
172,Xiaomi Redmi Book Pro 14 2024 Laptop (Intel Core Ultra 5/ 16GB/ 512GB SSD/ Win 11),"₹59,990",61,102 votes ,4.8,OS: Windows 11,1.46 kgLight,14 inchesSmall,2880 x 1800 pixelsGood,80 Wh BatteryGood,Intel Core Ultra 5 Series 1 125H,4 x 1.2 GHz (Turbo Speed upto 4.5 GHz) Performance Cores8 x 700 MHz (Turbo Speed upto 3.6 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,Intel Iris Xe Graphics Graphics,16 GB LPDDR5x RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
173,MSI Modern 15 C13M-080IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),"₹69,990",61,89 votes ,4.2,OS: Windows 11,1.9 kgHeavy,15.6 inchesAverage,1920 x 1080 pixelsAverage,3 Cell Battery,13th Gen Intel Core i7 13700H,6 x (Turbo Speed upto 5 GHz) Performance Cores8 x (Turbo Speed upto 3.7 GHz) Efficient Cores,Intel Integrated Iris Xe Graphics,16 GB DDR4 RAMAverage,1 TB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
174,MSI Modern 15 C13M-079IN Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home),"₹79,990",66,73 votes ,4.4,OS: Windows 11,1.9 kgAverage,15.6 inchesAverage,1920 x 1080 pixelsAverage,3 Cell Battery,13th Gen Intel Core i9 13900H,6 x 2.6 GHz (Turbo Speed upto 5.4 GHz) Performance Cores8 x 1.9 GHz (Turbo Speed upto 4.1 GHz) Efficient Cores,Intel Integrated Iris Xe Graphics,16 GB DDR4 RAMAverage,1 TB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
175,MSI Modern 15 C13M-081IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹59,990",57,54 votes ,4.2,OS: Windows 11,1.9 kgHeavy,15.6 inchesAverage,1920 x 1080 pixelsAverage,3 Cell Battery,13th Gen Intel Core i5 13420H,4 x (Turbo Speed upto 4.6 GHz) Performance Cores4 x (Turbo Speed upto 3.4 GHz) Efficient Cores,Intel Integrated Iris Xe Graphics,16 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
176,Chuwi GemiBook Plus CWI620 Laptop (Intel Celeron N100/ 8GB/ 256GB SSD/ Win11 Home),"₹21,990",46,292 votes ,4.1,OS: Windows 11,1.74 kgHeavy,15.6 inchesLargest,1920 x 1080 pixelsAverage,38 Wh BatteryGood,12th Gen Intel Celeron N100,4 x (Turbo Speed upto 3.4 GHz) Cores,Intel Integrated UHD Graphics Graphics,8 GB LPDDR5 RAMLargest,256 GB SSD,"WiFi, Bluetooth v5.2",2 MP Camera
177,Lenovo Legion Y9000K 2024 Gaming Laptop (14th Gen Core i9/ 64GB/ 2TB SSD/ Win11/ 16GB Graph),"₹3,49,990",92,111 votes ,4.2,OS: Windows 11,,16 inchesAverage,3200 x 2000 pixelsGood,"99.9 Wh, 4 Cell BatteryGood",14th Gen Intel Core i9 14900HX,8 x 2.2 GHz (Turbo Speed upto 5.8 GHz) Performance Cores16 x 1.6 GHz (Turbo Speed upto 4.1 GHz) Efficient Cores,"16 GB, NVIDIA GeForce RTX 4090 GraphicsLargest",64 GB DDR5 RAMLargest,2 TB SSD,"WiFi, Bluetooth v5.1","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
178,HP Pavilion Plus 14-ew0116TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),"₹67,490",57,73 votes ,4.0,OS: Windows 11,1.38 kgLight,14 inchesSmall,1920 x 1200 pixelsGood,"51 Wh, 3 Cell BatteryGood",13th Gen Intel Core i5 1335U,2 x (Turbo Speed upto 4.6 GHz) Performance Cores8 x (Turbo Speed upto 3.4 GHz) Efficient Cores,Intel Iris Xe Graphics Graphics,16 GB LPDDR5x RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3",5 MP Camera
179,MSI Stealth 16 AI Studio A1VFG-058IN Gaming Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),"₹1,99,990",80,91 votes ,4.1,OS: Windows 11,1.99 kgAverage,16 inchesAverage,2560 x 1600 pixelsAverage,"99 Wh, 4 Cell BatteryGood",Intel Core Ultra 7 Series 1 155H,6 x 1.4 GHz (Turbo Speed upto 4.8 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,"8 GB, NVIDIA GeForce RTX 4060 GraphicsAverage",32 GB DDR5 RAMLargest,1 TB SSD,"WiFi, Bluetooth v5.4","Backlit Keyboard, Inbuilt Microphone"
180,MSI Modern 14 D13MG-073IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹58,990",56,100 votes ,4.3,OS: Windows 11,1.6 kgLight,14 inchesSmall,1920 x 1200 pixelsGood,3 Cell Battery,13th Gen Intel Core i5 13420H,4 x (Turbo Speed upto 4.6 GHz) Performance Cores4 x (Turbo Speed upto 3.4 GHz) Efficient Cores,Intel Integrated Iris Xe Graphics,16 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
181,Samsung Galaxy Book 4 360 NP750QGK-KG3IN Laptop (Intel Core 7 Processor 150U/ 16GB/ 1TB SSD/ Win11),"₹1,38,990",61,67 votes ,4.1,OS: Windows 11,1.46 kgLight,15.6 inchesAverage,1920 x 1080 pixelsBad,68 Wh BatteryGood,Intel Core 7 Processor Series 1 150U,2 x 1.8 GHz (Turbo Speed upto 5.4 GHz) Performance Cores8 x 1.2 GHz (Turbo Speed upto 4 GHz) Efficient Cores,Intel Graphics Graphics,16 GB LPDDR5 RAMAverage,1 TB SSD,"WiFi, Bluetooth v5.3","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
182,Samsung Galaxy Book 4 Pro 360 NP960QGK-KG1IN Laptop (Intel Core Ultra 7/ 16GB/ 512GB SSD/ Win11),"₹1,63,990",69,81 votes ,4.5,OS: Windows 11,1.66 kgAverage,16 inchesAverage,2880 x 1800 pixelsGood,76 Wh BatteryGood,Intel Core Ultra 7 Series 1 155H,6 x 1.4 GHz (Turbo Speed upto 4.8 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,Intel Arc Graphics Graphics,16 GB LPDDR5X RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3",2 MP Camera
183,Samsung Galaxy Book 4 360 NP750QGK-KG2IN Laptop (Intel Core 7 Processor 150U/ 16GB/ 512GB SSD/ Win11),"₹1,22,990",59,51 votes ,4.6,OS: Windows 11,1.46 kgLight,15.6 inchesAverage,1920 x 1080 pixelsBad,68 Wh BatteryGood,Intel Core 7 Processor Series 1 150U,2 x 1.8 GHz (Turbo Speed upto 5.4 GHz) Performance Cores8 x 1.2 GHz (Turbo Speed upto 4 GHz) Efficient Cores,Intel Graphics Graphics,16 GB LPDDR5 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
184,Samsung Galaxy Book 4 360 NP750QGK-KG1IN Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),"₹1,14,990",57,80 votes ,4.6,OS: Windows 11,1.46 kgLight,15.6 inchesAverage,1920 x 1080 pixelsBad,68 Wh BatteryGood,Intel Core 5 Processor Series 1 120U,2 x 1.4 GHz (Turbo Speed upto 5 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores,Intel Graphics Graphics,16 GB LPDDR5 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
185,Samsung Galaxy Book 4 Pro 360 NP960QGK-KG2IN Laptop (Intel Core Ultra 7/ 16GB/ 1TB SSD/ Win11),"₹1,79,990",70,108 votes ,4.4,OS: Windows 11,1.66 kgAverage,16 inchesAverage,2880 x 1800 pixelsGood,76 Wh BatteryGood,Intel Core Ultra 7 Series 1 155H,6 x 1.4 GHz (Turbo Speed upto 4.8 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,Intel Arc Graphics Graphics,16 GB LPDDR5X RAMAverage,1 TB SSD,"WiFi, Bluetooth v5.3",2 MP Camera
186,Lenovo LOQ 15IRH8 82XV00LTIN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹73,882",68,92 votes ,4.7,OS: Windows 11,2.4 kgHeavy,15.6 inchesLarge,1920 x 1080 pixelsAverage,"60 Wh, 4 Cell BatteryGood",12th Gen Intel Core i5 12450H,4 x 2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 1.5 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"4 GB, NVIDIA GeForce RTX 2050 GraphicsAverage",16 GB DDR5 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.1","Backlit Keyboard, Inbuilt Microphone"
187,Lenovo IdeaPad Slim 3 82H803W7IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹35,500",48,91 votes ,4.5,OS: Windows 11,,15.6 inchesLarge,1920 x 1080 pixelsAverage,"45 Wh, 3 Cell BatteryGood",11th Gen Intel Core i3 1115G4,2 x 3 GHz (Turbo Speed upto 4.1 GHz) Cores,Intel UHD Graphics Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth",Inbuilt Microphone
188,Dell Inspiron 5620 ICC-C783534WIN8 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹64,990",66,60 votes ,4.2,OS: Windows 11,1.87 kgHeavy,16 inchesLarge,1920 x 1080 pixelsAverage,"54 Wh, 4 Cell BatteryGood",12th Gen Intel Core i5 1240P,4 x 1.7 GHz (Turbo Speed upto 4.4 GHz) Performance Cores8 x 1.2 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,Intel Integrated Graphics,16 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.0","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
189,MSI Prestige 16 AI Studio B1VFG Laptop ( Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11/ 8GB Graphics),"₹1,69,990",81,99 votes ,4.2,OS: Windows 11,1.6 kgLight,16 inchesAverage,2560 x 1600 pixelsAverage,"99.9 Wh, 4 Cell BatteryGood",Intel Core Ultra 7 Series 1 155H,6 x 1.4 GHz (Turbo Speed upto 4.8 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,"8 GB, NVIDIA GeForce RTX 4060 GraphicsAverage",32 GB LPDDR5 RAMLargest,1 TB SSD,"WiFi, Bluetooth v5.4","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
190,MSI Modern 14 D13MG-071IN Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home),"₹78,990",66,100 votes ,4.7,OS: Windows 11,1.6 kgAverage,14 inchesAverage,1920 x 1200 pixelsGood,3 Cell Battery,13th Gen Intel Core i9 13900H,6 x 2.6 GHz (Turbo Speed upto 5.4 GHz) Performance Cores8 x 1.9 GHz (Turbo Speed upto 4.1 GHz) Efficient Cores,Intel Integrated Iris Xe Graphics,16 GB DDR4 RAMAverage,1 TB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
191,MSI Modern 14 D13MG-072IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),"₹68,990",60,65 votes ,4.5,OS: Windows 11,1.6 kgLight,14 inchesAverage,1920 x 1200 pixelsGood,3 Cell Battery,13th Gen Intel Core i7 13620H,6 x (Turbo Speed upto 4.9 GHz) Performance Cores4 x (Turbo Speed upto 3.6 GHz) Efficient Cores,Intel Integrated Iris Xe Graphics,16 GB DDR4 RAMAverage,1 TB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
192,MSI Prestige 16 AI Evo  B1MG Laptop ( Intel Core Ultra 7/ 16GB/ 1TB SSD/ Win11),"₹1,19,990",70,65 votes ,4.3,OS: Windows 11,1.5 kgAverage,16 inchesLarge,2561 x 1600 pixelsGood,"99.9 Wh, 4 Cell BatteryGood",Intel Core Ultra 7 Series 1 155H,6 x 1.4 GHz (Turbo Speed upto 4.8 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,Intel Integrated Arc Graphics,16 GB LPDDR5 RAMAverage,1 TB SSD,"WiFi, Bluetooth v5.4","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
193,MSI Prestige 13 AI Evo A1MG 2024 Laptop (Intel Core Ultra 7/ 16GB/ 1TB SSD/ Win11 Home),"₹1,14,990",69,82 votes ,4.3,OS: Windows 11,990 gLight,13.3 inchesSmall,2880 x 1800 pixelsGood,"75 Wh, 4 Cell BatteryGood",Intel Core Ultra 7 Series 1 155H,6 x 1.4 GHz (Turbo Speed upto 4.8 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,Intel Arc Graphics Graphics,16 GB LPDDR5 RAMAverage,1 TB SSD,"WiFi, Bluetooth v5.4","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
194,MSI Prestige 13 AI Evo A1MG Laptop (Intel Core Ultra 5/ 16GB/ 1TB SSD/ Win11 Home),"₹99,990",66,76 votes ,4.2,OS: Windows 11,990 gLight,13.3 inchesSmall,2880 x 1800 pixelsGood,"75 Wh, 4 Cell BatteryGood",Intel Core Ultra 5 Series 1 125H,4 x 1.2 GHz (Turbo Speed upto 4.5 GHz) Performance Cores8 x 700 MHz (Turbo Speed upto 3.6 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,Intel Arc Graphics Graphics,16 GB LPDDR5 RAMLargest,1 TB SSD,"WiFi, Bluetooth v5.4","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
195,MSI Prestige 16 AI Studio B1VEG Laptop ( Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11/ 6GB Graphics),"₹1,59,990",80,82 votes ,4.8,OS: Windows 11,1.6 kgAverage,16 inchesAverage,2560 x 1600 pixelsAverage,"99.9 Wh, 4 Cell BatteryGood",Intel Core Ultra 7 Series 1 155H,6 x 1.4 GHz (Turbo Speed upto 4.8 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,"6 GB, NVIDIA GeForce RTX 4050 GraphicsAverage",32 GB LPDDR5 RAMLargest,1 TB SSD,"WiFi, Bluetooth v5.4","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
196,Acer Aspire Lite AL15-51 Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹47,990",59,109 votes ,4.3,OS: Windows 11,1.59 kgLight,15.6 inchesAverage,1920 x 1080 pixelsAverage,"36 Wh, 3 Cell BatteryGood",11th Gen Intel Core i7 1165G7,4 x 1.2 GHz (Turbo Speed upto 4.7 GHz) Cores,Intel Iris Xe Graphics Graphics,16 GB DDR4 RAMLarge,512 GB SSD,"WiFi, Bluetooth",Inbuilt Microphone
197,Samsung Galaxy Book 4 Pro 14 NP940XGK-KG2IN Laptop (Intel Core Ultra 7/ 16GB/ 512GB SSD/ Win11),"₹1,39,990",66,88 votes ,4.0,OS: Windows 11,1.23 kgLight,14 inchesSmall,2880 x 1800 pixelsGood,63 Wh BatteryGood,Intel Core Ultra 7 Series 1 155H,6 x 1.4 GHz (Turbo Speed upto 4.8 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,Intel Arc Graphics Graphics,16 GB LPDDR5X RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3",2 MP Camera
198,Samsung Galaxy Book 4 Pro 14 NP940XGK-KG3IN Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11),"₹1,71,990",72,98 votes ,4.8,OS: Windows 11,1.23 kgLight,14 inchesSmall,2880 x 1800 pixelsGood,63 Wh BatteryGood,Intel Core Ultra 7 Series 1 155H,6 x 1.4 GHz (Turbo Speed upto 4.8 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,Intel Arc Graphics Graphics,32 GB LPDDR5X RAMLargest,1 TB SSD,"WiFi, Bluetooth v5.3",2 MP Camera
199,Samsung Galaxy Book 4 Pro 14 NP940XGK-KS1IN Laptop (Intel Core Ultra 5/ 16GB/ 512GB SSD/ Win11),"₹1,31,990",65,59 votes ,4.5,OS: Windows 11,1.23 kgLight,14 inchesSmall,2880 x 1800 pixelsGood,63 Wh BatteryGood,Intel Core Ultra 5 Series 1 125H,4 x 1.2 GHz (Turbo Speed upto 4.5 GHz) Performance Cores8 x 700 MHz (Turbo Speed upto 3.6 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,Intel Arc Graphics Graphics,16 GB LPDDR5X RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3",2 MP Camera
200,Samsung Galaxy Book 4 Pro NP960XGK-KG1IN Laptop (Intel Core Ultra 5/ 16GB/ 512GB SSD/ Win11),"₹1,41,990",65,85 votes ,4.1,OS: Windows 11,1.56 kgAverage,16 inchesAverage,2880 x 1800 pixelsGood,76 Wh BatteryGood,Intel Core Ultra 5 Series 1 125H,4 x 1.2 GHz (Turbo Speed upto 4.5 GHz) Performance Cores8 x 700 MHz (Turbo Speed upto 3.6 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,Intel Arc Graphics Graphics,16 GB LPDDR5X RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3",2 MP Camera
201,Samsung Galaxy Book 4 Pro NP960XGK-KG2IN Laptop (Intel Core Ultra 7/ 16GB/ 512GB SSD/ Win11),"₹1,49,990",68,73 votes ,4.2,OS: Windows 11,1.56 kgAverage,16 inchesAverage,2880 x 1800 pixelsGood,76 Wh BatteryGood,Intel Core Ultra 7 Series 1 155H,6 x 1.4 GHz (Turbo Speed upto 4.8 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,Intel Arc Graphics Graphics,16 GB LPDDR5X RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3",2 MP Camera
202,Samsung Galaxy Book 4 Pro NP960XGK-KG3IN Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11),"₹1,81,990",73,96 votes ,4.2,OS: Windows 11,1.56 kgLight,16 inchesAverage,2880 x 1800 pixelsGood,76 Wh BatteryGood,Intel Core Ultra 7 Series 1 155H,6 x 1.4 GHz (Turbo Speed upto 4.8 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,Intel Arc Graphics Graphics,32 GB LPDDR5X RAMLargest,1 TB SSD,"WiFi, Bluetooth v5.3",2 MP Camera
203,Asus ROG Strix SCAR 16 2024 G634JZR-CM932WS Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 12GB Graph),"₹2,89,990",91,88 votes ,4.6,OS: Windows 11,2.65 kgHeavy,16 inchesAverage,2560 x 1600 pixelsAverage,"90 Wh, 4 Cell BatteryGood",14th Gen Intel Core i9 14900HX,8 x 2.2 GHz (Turbo Speed upto 5.8 GHz) Performance Cores16 x 1.6 GHz (Turbo Speed upto 4.1 GHz) Efficient Cores,"12 GB, NVIDIA GeForce RTX 4080 GraphicsLargest",32 GB DDR5 RAMAverage,2 TB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
204,Lenovo IdeaPad Slim 5 83DA0049IN Laptop (Intel Core Ultra 5/ 16 GB RAM/ 1TB SSD/ Win 11),"₹76,990",48,69 votes ,4.5,OS: Windows 11,,14 inchesAverage,1920 x 1200 pixelsGood,"57 Wh, 3 Cell BatteryGood",Intel Core Ultra 5 Series 1 125H,4 x 1.2 GHz (Turbo Speed upto 4.5 GHz) Performance Cores8 x 700 MHz (Turbo Speed upto 3.6 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,Intel Arc Graphics Graphics,16 GB LPDDR5 RAMAverage,1 TB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
205,Asus ROG Zephyrus G16 GU605MI-QP001WS Gaming Laptop (Intel Core Ultra 7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),"₹1,89,990",73,64 votes ,4.7,OS: Windows 11,1.85 kgAverage,16 inchesAverage,2560 x 1600 pixelsAverage,"90 Wh, 4 Cell BatteryGood",Intel Core Ultra 7 Series 1 155H,6 x 1.4 GHz (Turbo Speed upto 4.8 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.8 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,"8 GB, NVIDIA GeForce RTX 4070 GraphicsAverage",16 GB LPDDR5X RAMAverage,1 TB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
206,Asus Zenbook 14 OLED 2024 UX3405MA-QD552WS Laptop (Intel Core Ultra 5/ 16GB/ 1TB SSD/ Win11 Home),"₹96,990",56,84 votes ,4.1,OS: Windows 11,1.22 kgLight,14 inchesAverage,1920 x 1200 pixelsAverage,"75 Wh, 4 Cell BatteryGood",Intel Core Ultra 5 Series 1 125H,4 x 1.2 GHz (Turbo Speed upto 4.5 GHz) Performance Cores8 x 700 MHz (Turbo Speed upto 3.6 GHz) Efficient Cores2 x 700 MHz (Turbo Speed upto 2.5 GHz) Low Power Efficient Cores,Intel Arc Graphics Graphics,16 GB LPDDR5X RAMLargest,1 TB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
207,Lenovo Legion Pro 7i 2024 Gaming Laptop (14th Gen Core i9/ 32GB/ 1TB SSD/ Win11 Home/ 12GB Graph),"₹2,97,758",89,65 votes ,4.0,OS: Windows 11,,16 inchesAverage,2560 x 1600 pixelsAverage,"99.9 Wh, 4 Cell BatteryGood",14th Gen Intel Core i9 14900HX,8 x 2.2 GHz (Turbo Speed upto 5.8 GHz) Performance Cores16 x 1.6 GHz (Turbo Speed upto 4.1 GHz) Efficient Cores,"12 GB, NVIDIA Geforce RTX 4080 GraphicsLargest",32 GB DDR5 RAMAverage,1 TB SSD,"WiFi, Bluetooth v5.1","Backlit Keyboard, Inbuilt Microphone"
208,Asus TUF F17 FX706HF-NY040W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹65,990",63,104 votes ,4.7,OS: Windows 11,2.6 kgHeavy,17.3 inchesLargest,1920 x 1080 pixelsAverage,"48 Wh, 3 Cell BatteryGood",11th Gen Intel Core i5 11400H,6 x 2.2 GHz (Turbo Speed upto 4.5 GHz) Cores,"4 GB, NVIDIA GeForce RTX 2050 GraphicsAverage",16 GB DDR6 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
209,Asus VivoBook 15 X1500EA-EJ111WS Laptop (Intel Pentium Gold/ 8GB/ 256GB SSD/ Win11),"₹25,990",47,107 votes ,4.6,OS: Windows 11,1.8 kgHeavy,15.6 inchesAverage,1920 x 1080 pixelsAverage,2 Cell Battery,Intel Pentium Gold 7505,2 x 2 GHz (Turbo Speed upto 3.5 GHz) Cores,Intel Integrated UHD Graphics,8 GB DDR4 RAMLargest,256 GB SSD,"WiFi, Bluetooth v5.1","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
